county,gdp_2019,fiscal_2019,urban_income_2019,rural_income_2019,gdp_2025,fiscal_2025,urban_income_2025,rural_income_2025
忻府区,182.0,6.0,32755,11618,266.2115,10.7231,44900.058608,17190.831981
定襄县,52.6,2.2,32509,14425,71.2159,3.4434,42524.020174,21665.194219
五台县,51.9,2.4,28481,7676,64.4364,6.4343,39032.952904,12405.642382
代县,67.9,3.4,28528,6843,44.1380,4.9347,37825.775694,11116.434272
繁峙县,71.9,3.1,32416,9252,75.0832,6.4803,43898.992789,15841.564211
宁武县,67.7,9.1,26550,6843,119.4557,9.9261,37451.646717,11640.964489
静乐县,35.0,2.9,25406,8177,48.3694,2.5456,34972.503297,13247.911957
神池县,31.0,1.7,25535,9154,36.5374,1.9255,35250.336845,14479.395612
五寨县,30.8,2.7,25831,8827,43.5426,2.3374,34900.880240,14195.550221
岢岚县,33.3,1.9,29656,8159,49.2278,1.9700,41037.045001,12987.605145
河曲县,108.8,10.1,29903,8067,188.4806,15.1547,41152.801483,13907.626552
保德县,83.7,8.1,31297,8516,126.2429,21.9564,41486.607094,13591.936920
偏关县,34.3,2.1,24095,8180,34.0268,1.4164,33196.024140,13142.129812
原平市,143.5,8.5,33261,12074,153.4323,12.7424,43364.011243,17624.354933
五台山风景区,7.3,4.2,29209,7317,9.9885,8.8193,37926.980634,11135.460924
